,estado,idade,escolaridade,nível de proficiência em inglês,renda,sexo
567,MG,36,Pós-graduação,Intermediário,1960.09,M
568,AC,29,Fundamental,Intermediário,3612.77,F
569,ES,26,Fundamental,Básico,1946.58,F
570,MS,24,Fundamental,Intermediário,2376.23,F
571,RJ,45,Pós-graduação,Avançado,4914.03,F
572,MS,31,Fundamental,Avançado,2809.32,M
573,ES,48,Pós-graduação,Básico,3217.43,M
574,ES,36,Superior,Intermediário,3870.07,M
575,RS,64,Pós-graduação,Avançado,3495.68,F
576,MG,33,Superior,Avançado,3150.42,F
577,MS,22,Fundamental,Intermediário,3364.96,M
578,PR,52,Superior,Intermediário,5403.42,F
579,AC,29,Pós-graduação,Avançado,2942.38,F
580,MG,42,Médio,Avançado,3201.1,M
581,SE,38,Superior,Básico,4050.65,M
582,DF,53,Superior,Básico,4105.53,F
583,SE,40,Fundamental,Avançado,4187.03,M
584,BA,33,Pós-graduação,Básico,3638.73,F
585,ES,56,Superior,Avançado,1857.0,F
586,SP,62,Superior,Avançado,4633.43,M
587,TO,59,Superior,Básico,1853.65,F
588,PA,56,Superior,Básico,3302.64,M
589,RR,31,Médio,Intermediário,2245.72,M
590,MG,48,Pós-graduação,Intermediário,2935.86,M
591,PB,22,Fundamental,Intermediário,3328.76,F
592,RR,52,Fundamental,Avançado,3321.36,M
593,PE,40,Médio,Básico,3421.92,F
594,PB,46,Pós-graduação,Avançado,4613.71,F
595,RN,60,Superior,Básico,3453.53,F
596,PI,28,Médio,Avançado,2755.84,F
597,PI,35,Pós-graduação,Intermediário,3964.09,M
598,AL,64,Superior,Intermediário,4189.47,F
599,AM,29,Médio,Intermediário,1772.39,F
600,AC,26,Pós-graduação,Avançado,3597.4,F
601,AM,27,Fundamental,Básico,3701.17,M
602,PI,61,Fundamental,Básico,2702.44,F
603,BA,34,Pós-graduação,Intermediário,4375.71,F
604,RJ,55,Fundamental,Intermediário,2849.94,F
605,PB,24,Pós-graduação,Intermediário,3125.58,F
606,ES,63,Superior,Intermediário,2826.93,M
607,RN,30,Pós-graduação,Básico,3015.58,F
608,PE,57,Superior,Avançado,1903.72,F
609,AC,59,Médio,Avançado,1559.95,F
610,MS,26,Pós-graduação,Avançado,4594.51,F
611,SE,44,Médio,Avançado,2153.04,M
612,RJ,19,Fundamental,Intermediário,2008.61,M
613,PB,22,Superior,Intermediário,846.61,F
614,GO,46,Pós-graduação,Intermediário,2361.04,F
615,DF,54,Médio,Avançado,1676.91,M
616,AL,55,Superior,Intermediário,4642.02,M
617,GO,36,Superior,Intermediário,4009.82,F
618,MA,25,Fundamental,Básico,2311.85,M
619,AL,62,Fundamental,Básico,5252.44,M
620,RJ,18,Superior,Intermediário,3981.77,M
621,MT,39,Superior,Básico,2675.17,F
622,MG,34,Pós-graduação,Básico,500.59,M
623,MA,24,Superior,Intermediário,5290.94,M
624,PA,42,Pós-graduação,Intermediário,1610.43,F
625,PI,62,Superior,Intermediário,1354.6,M
626,RJ,21,Fundamental,Intermediário,4022.57,M
627,RO,53,Pós-graduação,Avançado,5439.75,F
628,GO,23,Médio,Avançado,4384.27,F
629,SP,48,Fundamental,Intermediário,3563.91,F
630,DF,36,Pós-graduação,Básico,3594.75,M
631,AP,61,Pós-graduação,Intermediário,3853.42,M
632,RN,56,Médio,Intermediário,3758.93,F
633,CE,44,Pós-graduação,Básico,3281.19,F
634,TO,27,Superior,Avançado,3104.2,M
635,RS,43,Médio,Intermediário,2937.41,M
636,AL,36,Fundamental,Intermediário,2246.04,F
637,CE,56,Fundamental,Avançado,2719.32,M
638,AP,20,Superior,Avançado,1307.04,M
639,PR,62,Fundamental,Básico,2901.66,F
640,ES,30,Pós-graduação,Avançado,2011.41,M
641,AL,45,Pós-graduação,Avançado,1896.41,F
642,PE,37,Superior,Avançado,3179.89,M
643,GO,45,Fundamental,Básico,4392.0,F
644,MS,25,Fundamental,Avançado,3918.32,M
645,AP,58,Superior,Avançado,1429.5,M
646,MT,56,Médio,Básico,2010.37,M
647,AC,18,Fundamental,Avançado,3940.77,F
648,RR,20,Médio,Avançado,2017.51,F
649,MG,30,Fundamental,Básico,2775.37,F
650,PB,45,Fundamental,Intermediário,3550.05,F
651,SE,42,Fundamental,Básico,2031.66,M
652,BA,50,Fundamental,Avançado,3105.38,F
653,RS,55,Pós-graduação,Avançado,1665.97,M
654,PE,23,Médio,Avançado,2398.63,M
655,SP,61,Médio,Básico,3319.78,F
656,RR,62,Fundamental,Avançado,1407.01,F
657,SC,49,Fundamental,Avançado,3440.47,F
658,SP,62,Médio,Básico,2980.36,F
659,CE,64,Pós-graduação,Intermediário,3552.49,F
660,RS,38,Superior,Intermediário,3223.91,F
661,RO,33,Superior,Avançado,4364.14,F
662,MT,38,Médio,Básico,3125.22,M
663,PI,28,Fundamental,Avançado,2570.59,M
664,AM,54,Fundamental,Básico,3122.3,M
665,AP,53,Pós-graduação,Básico,3543.3,M
666,MG,52,Superior,Intermediário,3048.86,F
667,RR,36,Pós-graduação,Intermediário,3040.59,F
668,GO,37,Superior,Básico,2298.01,F
669,RS,35,Médio,Avançado,2337.1,M
670,CE,64,Superior,Intermediário,1597.39,M
671,SE,58,Pós-graduação,Avançado,4749.58,F
672,MS,31,Pós-graduação,Intermediário,1756.14,F
673,AL,32,Pós-graduação,Intermediário,2307.09,M
674,AP,48,Médio,Avançado,2281.59,F
675,AP,18,Superior,Intermediário,3894.92,M
676,MS,20,Superior,Intermediário,2705.05,F
677,PB,33,Pós-graduação,Avançado,4247.74,M
678,GO,40,Superior,Intermediário,2326.51,M
679,RR,28,Fundamental,Intermediário,3278.99,F
680,ES,29,Fundamental,Intermediário,2164.65,M
681,MT,27,Fundamental,Avançado,5145.15,F
682,PR,49,Superior,Básico,1812.4,M
683,SE,33,Médio,Avançado,3309.82,F
684,TO,25,Médio,Básico,3633.78,F
685,SP,55,Médio,Intermediário,3413.8,F
686,RO,29,Médio,Básico,2814.71,F
687,AM,41,Fundamental,Avançado,2870.18,F
688,AC,45,Fundamental,Avançado,3043.81,M
689,SC,25,Pós-graduação,Intermediário,2853.0,M
690,DF,45,Superior,Básico,3963.88,M
691,AL,53,Superior,Intermediário,5210.52,F
692,SC,43,Médio,Intermediário,2442.51,F
693,BA,25,Fundamental,Avançado,1630.2,F
694,DF,45,Médio,Básico,2911.72,M
695,AM,45,Pós-graduação,Básico,5579.71,M
696,BA,54,Superior,Básico,2196.33,M
697,SC,58,Superior,Básico,4639.12,M
698,AC,53,Médio,Intermediário,4677.7,M
699,AC,44,Pós-graduação,Intermediário,2446.41,M
700,PB,34,Superior,Avançado,3568.98,F
701,RN,26,Pós-graduação,Intermediário,4628.4,M
702,RJ,50,Pós-graduação,Intermediário,2620.87,F
703,MA,37,Médio,Avançado,2796.42,F
704,PI,30,Fundamental,Avançado,2418.32,F
705,AP,45,Médio,Avançado,1985.24,M
706,MT,46,Fundamental,Intermediário,2350.72,F
707,PB,30,Pós-graduação,Intermediário,1776.06,F
708,TO,63,Fundamental,Avançado,3034.08,F
709,MT,52,Pós-graduação,Avançado,2230.03,F
710,PE,23,Superior,Avançado,3233.79,F
711,PE,35,Superior,Intermediário,1444.1,M
712,CE,22,Superior,Intermediário,3330.88,M
713,BA,64,Médio,Básico,3833.53,M
714,ES,42,Médio,Intermediário,1006.26,F
715,AL,19,Pós-graduação,Intermediário,3374.06,F
716,PR,27,Superior,Intermediário,4227.67,M
717,RN,47,Médio,Avançado,1790.36,F
718,SC,62,Superior,Intermediário,4672.57,F
719,MS,22,Médio,Avançado,3419.02,F
720,CE,50,Fundamental,Básico,2294.99,M
721,AC,18,Fundamental,Básico,2944.23,M
722,AM,35,Superior,Avançado,3558.33,M
723,PE,49,Pós-graduação,Avançado,3076.01,M
724,MG,64,Médio,Avançado,3538.76,M
725,PI,28,Médio,Intermediário,2079.33,F
726,BA,38,Fundamental,Básico,3169.36,M
727,SC,43,Fundamental,Avançado,1586.29,F
728,SC,42,Pós-graduação,Intermediário,2888.77,F
729,TO,39,Pós-graduação,Básico,2096.09,M
730,AP,44,Pós-graduação,Intermediário,2264.47,F
731,MT,30,Superior,Básico,4236.09,M
732,MG,50,Fundamental,Intermediário,4091.31,M
733,AM,51,Superior,Básico,3609.14,F
734,SE,58,Fundamental,Básico,1907.69,M
735,TO,52,Fundamental,Intermediário,2683.59,F
736,PA,18,Médio,Avançado,4213.1,M
737,RO,38,Fundamental,Básico,3141.72,F
738,MT,23,Fundamental,Avançado,5319.33,M
739,TO,45,Superior,Intermediário,3393.32,M
740,MA,34,Fundamental,Avançado,3192.05,F
741,RJ,22,Superior,Avançado,2690.88,F
742,PI,48,Pós-graduação,Avançado,3133.54,M
743,CE,22,Fundamental,Avançado,2847.53,M
744,TO,55,Fundamental,Avançado,3708.11,F
745,PB,20,Superior,Básico,3956.7,M
746,RS,40,Pós-graduação,Básico,2214.01,M
747,MA,54,Médio,Básico,1668.77,F
748,BA,54,Pós-graduação,Intermediário,1163.79,F
749,SE,27,Superior,Avançado,3507.99,M
750,BA,27,Pós-graduação,Básico,1896.63,M
751,MA,36,Superior,Intermediário,847.11,F
752,BA,34,Superior,Básico,3388.58,F
753,AP,38,Médio,Básico,5493.0,M
754,RR,31,Fundamental,Avançado,2993.93,M
755,CE,26,Superior,Intermediário,3838.49,M
756,AM,63,Superior,Avançado,3081.83,M
757,PI,18,Médio,Avançado,2901.11,F
758,GO,62,Superior,Básico,3919.08,M
759,PE,30,Fundamental,Avançado,2709.73,F
760,MG,21,Médio,Intermediário,3267.39,M
761,TO,18,Fundamental,Avançado,3321.7,F
762,PB,57,Fundamental,Avançado,2331.91,F
763,RN,49,Médio,Avançado,3992.04,F
764,PE,51,Superior,Básico,2825.04,F
765,MG,45,Fundamental,Intermediário,2244.25,F
766,PR,48,Fundamental,Básico,3536.51,F
767,RO,25,Fundamental,Básico,2101.53,M
768,AM,56,Fundamental,Básico,3028.18,M
769,BA,43,Médio,Básico,2990.88,M
770,BA,51,Médio,Básico,4085.9,M
771,GO,20,Pós-graduação,Intermediário,3474.7,F
772,PE,29,Pós-graduação,Avançado,2974.97,M
773,MG,18,Fundamental,Básico,3817.77,M
774,AL,61,Superior,Básico,4390.21,M
775,MG,22,Fundamental,Intermediário,3557.81,M
776,RO,47,Superior,Intermediário,3010.35,M
777,RS,47,Fundamental,Avançado,1688.16,F
778,TO,34,Pós-graduação,Intermediário,1934.89,F
779,RR,64,Pós-graduação,Avançado,2694.78,M
780,RJ,40,Superior,Básico,2390.49,M
781,AP,32,Fundamental,Básico,2813.03,F
782,MA,54,Superior,Avançado,3056.65,M
783,AL,38,Pós-graduação,Intermediário,3529.69,F
784,MG,31,Fundamental,Avançado,2929.5,F
785,RJ,19,Fundamental,Intermediário,3486.5,M
786,SE,28,Superior,Básico,3064.47,F
787,PE,56,Médio,Intermediário,1024.53,F
788,RS,55,Superior,Avançado,2060.66,M
789,PA,51,Pós-graduação,Avançado,2855.91,F
790,MS,55,Pós-graduação,Básico,1790.31,M
791,RS,51,Pós-graduação,Intermediário,3599.93,M
792,MS,35,Pós-graduação,Intermediário,4530.75,F
793,MT,47,Pós-graduação,Intermediário,4218.76,M
794,DF,32,Médio,Básico,2786.56,M
795,AM,44,Fundamental,Intermediário,4490.73,F
796,RJ,51,Superior,Avançado,3148.67,F
797,AC,55,Superior,Intermediário,2662.91,F
798,SC,50,Pós-graduação,Básico,2386.6,F
799,AP,41,Superior,Intermediário,2697.53,M
800,MG,32,Pós-graduação,Intermediário,2611.82,F
801,PB,47,Médio,Avançado,3170.42,M
802,AL,59,Médio,Intermediário,3160.57,F
803,MT,34,Fundamental,Avançado,3003.05,F
804,AM,22,Médio,Avançado,3436.94,F
805,RJ,46,Médio,Básico,4190.65,F
806,PE,21,Fundamental,Avançado,3949.55,F
807,AP,27,Superior,Avançado,1515.1,M
808,PI,34,Pós-graduação,Básico,446.08,M
809,ES,27,Pós-graduação,Avançado,3934.32,M
810,RO,34,Superior,Básico,1633.12,M
811,SP,37,Fundamental,Intermediário,2775.23,F
812,SC,41,Superior,Básico,1829.89,M
813,SE,22,Médio,Avançado,1198.02,M
814,RJ,51,Fundamental,Básico,3541.46,M
815,BA,23,Fundamental,Avançado,3759.16,M
816,DF,19,Fundamental,Intermediário,2423.49,F
817,RS,30,Pós-graduação,Básico,408.96,F
818,ES,60,Superior,Intermediário,2453.76,M
819,BA,60,Fundamental,Avançado,3391.8,M
820,PE,28,Fundamental,Avançado,1521.09,F
821,BA,64,Fundamental,Intermediário,3183.36,M
822,AM,40,Superior,Básico,2984.69,F
823,RO,33,Pós-graduação,Básico,3579.29,F
824,RJ,48,Médio,Avançado,3119.58,M
825,TO,28,Pós-graduação,Intermediário,2026.93,M
826,RS,33,Fundamental,Intermediário,4196.57,M
827,AL,25,Pós-graduação,Básico,2841.47,M
828,MT,21,Pós-graduação,Básico,2972.7,F
829,RO,57,Médio,Básico,2066.73,F
830,MG,21,Superior,Intermediário,2556.72,F
831,PB,42,Superior,Básico,2115.2,F
832,MS,20,Pós-graduação,Básico,2827.05,M
833,RO,49,Pós-graduação,Avançado,4711.71,M
834,RS,20,Superior,Básico,1628.1,F
835,RO,44,Superior,Básico,1386.44,F
836,MT,46,Médio,Intermediário,4471.17,F
837,DF,49,Fundamental,Intermediário,2790.68,M
838,BA,36,Pós-graduação,Avançado,2330.93,F
839,PE,38,Superior,Básico,4039.9,M
840,SC,22,Pós-graduação,Avançado,2394.38,F
841,RN,35,Pós-graduação,Intermediário,4826.01,M
842,GO,45,Superior,Avançado,3677.93,M
843,PA,59,Médio,Intermediário,2512.09,F
844,SE,39,Pós-graduação,Avançado,5157.31,F
845,MS,38,Médio,Avançado,2394.29,M
846,CE,23,Superior,Básico,3742.1,M
847,PE,18,Fundamental,Avançado,3299.29,F
848,RJ,22,Fundamental,Básico,4301.74,F
849,RJ,58,Pós-graduação,Básico,4561.51,M
850,SE,29,Superior,Básico,3032.0,M
851,PR,43,Médio,Básico,2246.58,M
852,MS,63,Pós-graduação,Avançado,3459.97,F
853,MS,51,Superior,Intermediário,2322.28,M
854,RN,31,Superior,Intermediário,5013.39,F
855,CE,43,Médio,Intermediário,3136.54,F
856,RR,62,Pós-graduação,Avançado,2634.68,F
857,SE,44,Superior,Básico,3184.68,F
858,AM,26,Superior,Intermediário,1652.87,F
859,CE,43,Superior,Avançado,2028.39,F
860,MT,64,Médio,Básico,4200.41,F
861,AC,39,Pós-graduação,Intermediário,2343.11,F
862,SC,64,Pós-graduação,Básico,1953.09,M
863,RR,47,Pós-graduação,Intermediário,3536.65,M
864,PB,60,Pós-graduação,Intermediário,4185.7,F
865,TO,34,Fundamental,Intermediário,3718.95,F
866,MT,43,Fundamental,Básico,3996.05,F
867,SP,53,Pós-graduação,Avançado,2243.2,F
868,RJ,18,Médio,Básico,1578.19,F
869,PI,25,Fundamental,Intermediário,4501.33,F
870,PE,52,Superior,Básico,2677.32,M
871,RJ,32,Fundamental,Avançado,2749.17,M
872,RS,64,Superior,Básico,4328.19,F
873,PA,39,Pós-graduação,Avançado,3556.23,M
874,TO,31,Fundamental,Avançado,3455.89,F
875,PI,43,Médio,Básico,5165.0,M
876,RJ,45,Fundamental,Intermediário,2356.48,F
877,PB,40,Fundamental,Avançado,3927.84,F
878,PB,31,Fundamental,Básico,3057.01,M
879,AM,41,Pós-graduação,Avançado,3268.59,M
880,DF,19,Médio,Intermediário,4528.47,F
881,MG,62,Fundamental,Básico,3507.84,M
882,AP,43,Médio,Básico,3538.3,M
883,PR,31,Pós-graduação,Básico,4072.51,M
884,GO,24,Superior,Intermediário,2635.05,M
885,ES,20,Fundamental,Avançado,2160.79,M
886,RN,64,Médio,Básico,1955.19,M
887,MG,40,Médio,Avançado,1033.64,F
888,PE,63,Pós-graduação,Avançado,5056.21,F
889,PE,60,Fundamental,Intermediário,1896.79,F
890,PE,64,Superior,Básico,2778.75,F
891,AC,62,Médio,Avançado,2723.19,M
892,ES,35,Fundamental,Básico,3307.41,F
893,RJ,55,Superior,Básico,3815.74,M
894,CE,52,Médio,Intermediário,3860.47,M
895,AP,32,Médio,Básico,2416.92,M
896,TO,42,Superior,Básico,2832.88,F
897,BA,54,Superior,Avançado,3282.58,M
898,MG,45,Pós-graduação,Intermediário,2751.31,M
899,PB,27,Fundamental,Básico,4607.35,M
900,PA,56,Fundamental,Avançado,3490.97,F
901,RR,34,Pós-graduação,Intermediário,3734.88,M
902,PR,56,Médio,Intermediário,3662.88,M
903,PI,39,Superior,Avançado,4173.47,M
904,RO,43,Superior,Avançado,3181.02,M
905,RO,61,Superior,Avançado,1703.17,F
906,MT,42,Médio,Avançado,3399.69,F
907,AP,34,Superior,Avançado,2348.64,M
908,RO,30,Superior,Básico,2471.38,M
909,MA,37,Pós-graduação,Básico,3586.36,F
910,MA,42,Médio,Intermediário,4238.28,M
911,RS,21,Fundamental,Básico,3021.27,M
912,PR,27,Pós-graduação,Básico,3308.83,F
913,MS,20,Pós-graduação,Básico,4702.21,M
914,AL,58,Fundamental,Avançado,3240.75,F
915,GO,62,Pós-graduação,Intermediário,5601.68,M
916,SC,35,Médio,Intermediário,3565.51,M
917,AP,64,Superior,Intermediário,1239.24,M
918,SC,53,Médio,Intermediário,3753.34,M
919,SP,64,Fundamental,Básico,3381.16,F
920,PB,39,Fundamental,Básico,4289.75,F
921,AP,51,Pós-graduação,Avançado,3673.18,F
922,RJ,64,Médio,Intermediário,2861.54,F
923,PI,25,Médio,Básico,1775.7,F
924,ES,57,Fundamental,Básico,2790.98,F
925,SE,61,Médio,Avançado,2149.48,F
926,PE,36,Fundamental,Avançado,2419.48,M
927,ES,59,Médio,Avançado,3588.58,M
928,DF,58,Médio,Básico,4669.9,M
929,DF,54,Médio,Básico,3394.67,M
930,AP,23,Fundamental,Avançado,1804.12,M
931,AC,43,Pós-graduação,Intermediário,3444.6,M
932,AM,51,Médio,Avançado,4196.63,M
933,SP,62,Fundamental,Avançado,2390.22,F
934,BA,23,Fundamental,Avançado,2865.98,F
935,AC,54,Médio,Avançado,3014.69,M
936,PB,50,Médio,Básico,2215.1,F
937,BA,39,Pós-graduação,Intermediário,3648.28,F
938,MG,38,Fundamental,Avançado,2879.05,F
939,ES,23,Fundamental,Intermediário,3419.53,M
940,ES,23,Superior,Intermediário,2112.51,M
941,BA,21,Fundamental,Intermediário,2562.54,F
942,GO,47,Pós-graduação,Avançado,3722.38,M
943,AC,28,Superior,Básico,2627.17,F
944,AM,47,Superior,Avançado,4726.96,M
945,AP,48,Superior,Intermediário,2600.36,M
946,AL,41,Médio,Intermediário,3224.68,F
947,ES,26,Médio,Básico,3932.59,F
948,RR,20,Fundamental,Avançado,1581.63,F
949,GO,48,Superior,Intermediário,1239.19,F
950,AL,57,Pós-graduação,Básico,1474.34,M
951,PA,54,Médio,Intermediário,4262.58,F
952,PA,53,Pós-graduação,Básico,2448.14,F
953,AM,41,Pós-graduação,Básico,5558.2,F
954,CE,48,Médio,Avançado,2435.75,M
955,MT,23,Médio,Intermediário,3184.55,F
956,AP,19,Médio,Avançado,4542.11,F
957,ES,37,Médio,Intermediário,5006.09,F
958,AP,45,Superior,Avançado,5061.5,M
959,PA,28,Superior,Intermediário,4208.37,M
960,MG,21,Superior,Avançado,4024.06,F
961,MG,32,Superior,Básico,3592.53,M
962,AL,23,Fundamental,Intermediário,3778.36,F
963,MG,47,Superior,Intermediário,2448.81,M
964,RJ,55,Médio,Básico,2181.8,F
965,TO,19,Pós-graduação,Avançado,2996.63,M
966,CE,32,Superior,Intermediário,2829.82,M
967,PR,28,Fundamental,Intermediário,2546.77,F
968,AL,25,Médio,Avançado,3696.39,F
969,ES,43,Pós-graduação,Básico,3955.31,M
970,PE,62,Pós-graduação,Avançado,3088.41,M
971,RR,61,Superior,Avançado,4477.53,F
972,AL,22,Pós-graduação,Avançado,1858.31,M
973,MA,23,Superior,Intermediário,2806.34,M
974,PR,43,Superior,Básico,2283.18,F
975,CE,21,Médio,Básico,1133.46,F
976,AL,36,Médio,Avançado,2917.32,F
977,AL,37,Fundamental,Intermediário,2878.25,F
978,SE,50,Médio,Avançado,4513.45,F
979,MG,37,Médio,Intermediário,3630.81,M
980,SC,29,Superior,Intermediário,1975.81,F
981,PB,64,Médio,Intermediário,4854.09,F
982,AL,18,Superior,Intermediário,4221.03,F
983,DF,43,Superior,Básico,3582.1,M
984,AP,31,Médio,Intermediário,2773.52,F
985,ES,55,Fundamental,Intermediário,2040.56,M
986,RR,54,Fundamental,Avançado,2627.79,M
987,PA,28,Pós-graduação,Avançado,4088.75,M
988,SC,53,Pós-graduação,Básico,4884.59,F
989,RR,30,Médio,Avançado,4543.24,M
990,TO,60,Fundamental,Intermediário,2511.15,M
991,RO,20,Superior,Avançado,1880.38,F
992,DF,50,Pós-graduação,Básico,3140.89,F
993,RS,23,Superior,Avançado,1231.56,M
994,DF,27,Pós-graduação,Avançado,3323.17,F
995,AC,22,Médio,Básico,2852.4,F
996,PE,40,Fundamental,Básico,2533.96,M
997,GO,27,Pós-graduação,Intermediário,1405.3,F
998,RS,61,Fundamental,Avançado,3513.6,F
999,MG,19,Superior,Intermediário,2467.3,F
